 1772 1  1
cluster file from TAD2; meaning encoded in file name                            
         42.24000000         42.24000000         80.00000000
(3f12.6,i2)                                                                     
    1.757700   36.959020    7.805012 1
    1.756323   40.480018    7.805932 1
    3.515621    0.000297    7.810415 1
    3.515147    3.523343    7.806498 1
    3.517792    7.042835    7.806816 1
    3.518865   10.556530    7.805851 1
    3.519903   14.078274    7.834800 1
    3.518039   17.598951    7.805081 1
    3.510873   21.117368    7.825105 1
    3.507957   24.645912    7.801858 1
    3.511282   28.160974    7.802745 1
    3.517146   31.681505    7.805081 1
    3.514349   35.196615    7.805372 1
    3.511434   38.718230    7.804464 1
    5.269445    1.763618    7.804943 1
    5.273037    5.280994    7.805573 1
    5.276084    8.801559    7.806106 1
    5.281358   12.318966    7.810446 1
    5.281636   15.840593    7.810542 1
    5.281391   19.348690    7.804574 1
    5.268654   22.885712    7.811168 1
    5.264709   26.406387    7.794828 1
    5.267071   29.921408    7.803649 1
    5.276263   33.438475    7.812591 1
    5.270131   36.950214    7.799846 1
    5.274135   40.481705    7.829217 1
    7.035540    0.007283    7.808198 1
    7.031424    3.521660    7.807804 1
    7.029647    7.039444    7.804780 1
    7.039837   10.560607    7.810628 1
    7.044451   14.080882    7.806092 1
    7.043742   17.596797    7.807830 1
    7.050118   21.109375    7.811548 1
    7.028782   24.650359    7.802610 1
    7.025960   28.160248    7.789325 1
    7.036225   31.681368    7.834177 1
    7.038189   35.191967    7.807740 1
    7.036913   38.717629    7.824468 1
    8.796991    1.765422    7.830551 1
    8.795476    5.277529    7.801519 1
    8.798066    8.800842    7.830282 1
    8.799775   12.323412    7.806532 1
    8.802830   15.839549    7.808011 1
    8.804546   19.353349    7.809897 1
    8.810237   22.873740    7.813227 1
    8.797928   26.403053    7.799650 1
    8.803447   29.926832    7.820460 1
    8.801510   33.437690    7.811880 1
    8.801346   36.955519    7.829990 1
    8.803416   40.483472    7.797132 1
   10.558349    0.005266    7.805415 1
   10.561403    3.521338    7.805950 1
   10.562941    7.036055    7.829124 1
   10.560774   10.567811    7.804839 1
   10.560083   14.080324    7.807142 1
   10.563157   17.597150    7.808657 1
   10.565040   21.114766    7.809663 1
   10.572285   24.634038    7.814011 1
   10.571481   28.167650    7.814523 1
   10.569852   31.684075    7.807293 1
   10.561133   35.199279    7.811361 1
   10.566757   38.718260    7.808500 1
   12.327885    1.769281    7.802484 1
   12.324263    5.278000    7.808678 1
   12.323972    8.800697    7.802744 1
   12.319680   12.322788    7.805084 1
   12.320394   15.838237    7.807487 1
   12.320761   19.357145    7.808850 1
   12.323144   22.877062    7.811590 1
   12.330794   26.398877    7.805184 1
   12.325846   29.922997    7.806998 1
   12.322422   33.445561    7.806737 1
   12.323644   36.956421    7.805595 1
   12.323211   40.478884    7.828344 1
   14.089107    0.002986    7.829503 1
   14.087083    3.523531    7.805344 1
   14.084851    7.037202    7.808981 1
   14.079583   10.563039    7.808048 1
   14.077919   14.079148    7.805340 1
   14.076610   17.598772    7.807213 1
   14.078296   21.117597    7.808882 1
   14.076390   24.636540    7.808035 1
   14.083611   28.160668    7.809200 1
   14.076039   31.686295    7.805159 1
   14.082596   35.203288    7.806172 1
   14.085516   38.712089    7.804988 1
   15.847420    1.762715    7.810585 1
   15.846196    5.276461    7.805593 1
   15.841384    8.800655    7.834428 1
   15.838662   12.322510    7.803554 1
   15.832938   15.837656    7.805467 1
   15.837744   19.359801    7.811779 1
   15.837326   22.877178    7.811587 1
   15.838312   26.396947    7.809904 1
   15.839152   29.921246    7.830169 1
   15.842590   33.450071    7.805416 1
   15.845546   36.957900    7.806533 1
   15.852798   40.477494    7.805487 1
   17.607792    0.001018    7.807258 1
   17.606342    3.521023    7.807379 1
   17.604450    7.039837    7.810785 1
   17.601695   10.561391    7.810089 1
   17.599518   14.071563    7.804733 1
   17.598758   17.602237    7.831897 1
   17.599357   21.118712    7.806010 1
   17.600230   24.639154    7.834758 1
   17.602057   28.157613    7.803676 1
   17.605806   31.684018    7.831022 1
   17.606009   35.203533    7.806562 1
   17.606249   38.716643    7.807237 1
   19.363692    1.761001    7.808236 1
   19.363841    5.280763    7.807395 1
   19.365815    8.801459    7.806390 1
   19.362115   12.315504    7.806147 1
   19.362449   15.834829    7.830594 1
   19.363183   19.367470    7.807749 1
   19.361542   22.879859    7.810491 1
   19.363556   26.400470    7.809017 1
   19.370506   29.919723    7.805637 1
   19.365642   33.442107    7.811280 1
   19.365170   36.959788    7.807521 1
   19.362470   40.479243    7.808679 1
   21.120337    0.000365    7.808948 1
   21.121377    3.520840    7.807721 1
   21.121203    7.041237    7.807814 1
   21.122609   10.559809    7.807854 1
   21.121592   14.074042    7.810439 1
   21.123752   17.598559    7.806515 1
   21.120999   21.124550    7.808232 1
   21.123739   24.641839    7.804750 1
   21.124329   28.159410    7.806037 1
   21.126360   31.681222    7.807012 1
   21.123590   35.201057    7.807484 1
   21.121043   38.720580    7.808037 1
   22.878692    1.761261    7.808205 1
   22.878274    5.282011    7.807482 1
   22.879669    8.800389    7.808133 1
   22.882422   12.316756    7.808024 1
   22.882203   15.829870    7.807458 1
   22.873198   19.361684    7.818934 1
   22.879995   22.889188    7.805052 1
   22.880651   26.400881    7.806297 1
   22.881693   29.919685    7.807452 1
   22.881167   33.441008    7.807592 1
   22.879607   36.961387    7.807001 1
   22.877813   40.480647    7.808138 1
   24.634094    0.000635    7.807144 1
